Comment,Designator,Footprint,LCSC Part Number
100nF,"C1,C2,C3,C6",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
1nF,"C7",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C46653
LEDR,D10,LEDs:LED_0805,C84256
LED,D13,LEDs:LED_0805,C34499
US1M,"D1,D2,D3,D4,D5",Diode_SMD:D_SMA,C412437
1N4148,"D6,D7,D8",Diode_SMD:D_SOD-323F,C2128
B5819W,D9,Diode_SMD:D_SOD-123,C8598
MMBT5551,Q1,TO_SOT_Packages_SMD:SOT-23,C2145
820,"R0,R1",Resistor_SMD:R_0805_HandSolderingII,C17837
1k,"R10,R11,R12,R13,R14",Resistor_SMD:R_1206_HandSolderingII,C4410
1k5,R15,Resistor_SMD:R_0805_HandSolderingII,C4310
4k7,"R4,R6,R16,R19",Resistor_SMD:R_0805_HandSolderingII,C17673
10k,"R17,R22",Resistor_SMD:R_0805_HandSolderingII,C17414
560,R18,Resistor_SMD:R_0805_HandSolderingII,C28636
390,R2,Resistor_SMD:R_0805_HandSolderingII,C17655
3k3,"R20,R21",Resistor_SMD:R_0805_HandSolderingII,C26010
1k8,R23,Resistor_SMD:R_0805_HandSolderingII,C17398
22,R3,Resistor_SMD:R_0805_HandSolderingII,C17561
82,R5,Resistor_SMD:R_0805_HandSolderingII,C17841
1k,R7,Resistor_SMD:R_0805_HandSolderingII,C17513
1K,"R8,R9",Resistor_SMD:R_1206_HandSolderingII,C4410
7805,U2,Package_TO_SOT_SMD:TO-252-2,C58069
LM393,U3,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C7955
78L05,U4,Package_TO_SOT_SMD:SOT-89-3,C71136
