Value,Designator,Footprint,LCSC Part #
"100nF","C1,C6,C8,C9,C10,C11,C12,C13,C14,C16,C17,C19","Capacitors_SMD:C_0805_HandSoldering","C49678"
"18pF","C3,C4","Capacitors_SMD:C_0805_HandSoldering","C1797"
"10k","R1","Resistors_SMD:R_0805_HandSolderingII","C17414"
"3k3","R6,R7,R9,R10,R14,R15,R22,R23","Resistors_SMD:R_0805_HandSolderingII","C26010"
"270","R12,R16","Resistors_SMD:R_0805_HandSolderingII","C17590"
"49.9","R17,R18,R19,R20","Resistors_SMD:R_0805_HandSolderingII","C17720"
"120","R11,R21","Resistors_SMD:R_1206_HandSolderingII","C17909"
"1k5","R24","Resistors_SMD:R_0805_HandSolderingII","C4310"
"47k","R25","Resistors_SMD:R_0805_HandSolderingII","C17713"
"240","R26","Resistors_SMD:R_0805_HandSolderingII","C17572"
"2k2","R27","Resistors_SMD:R_0805_HandSolderingII","C17520"
"39k","R28","Resistors_SMD:R_0805_HandSolderingII","C25826"
"680","R2,R3,R5","Resistors_SMD:R_0805_HandSolderingII","C17798"
"4k7","R4","Resistors_SMD:R_0805_HandSolderingII","C17673"
"SN65HVD230","U3","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C12084"
"PIC18F25K80","U4","w_smd_dil:ssop-28","C26838"
"CD4504","U8","w_smd_dil:so-16","C151885"
"LM317","U9","Package_TO_SOT_SMD:TO-252-2","C75510"
"16MHz","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C13738"
