Designator,Mid X,Mid Y,Rotation,Layer
C1,43.5735,33.025,180.0,top
C10,66.8526,20.143,90.0,top
C100,13.125,54.7632,180.0,top
C101,6.3875,45.45,180.0,top
C102,16.4,45.15,270.0,top
C11,62.6108,20.143,90.0,top
C12,60.5788,20.143,270.0,top
C13,51.9428,20.0668,270.0,top
C14,59.004,41.8854,90.0,top
C16,13.6396,25.731,270.0,top
C17,13.411,20.6256,270.0,top
C18,3.6,16.25,270.0,top
C19,4.521,32.3096,180.0,top
C3,41.1732,45.6192,90.0,top
C4,44.9324,48.3116,180.0,top
C5,50.5327,46.8384,0.0,top
C6,32.207,33.224,0.0,top
C8,71.0,41.2758,90.0,top
C9,40.843,23.0386,270.0,top
D100,6.3244,49.9118,270.0,top
J4,46.685,52.79,0.0,top
J5,46.685,28.39,0.0,top
L100,8.05,39.1,0.0,top
R1,30.4228,50.5214,0.0,top
R10,71.0,46.5,90.0,top
R101,19.8372,48.0068,90.0,top
R102,19.8372,51.5882,90.0,top
R103,18.05,51.6,270.0,top
R11,37.922,22.683,270.0,top
R12,49.6314,20.0922,90.0,top
R14,67.132,52.1724,180.0,top
R15,67.132,50.0896,0.0,top
R16,70.3324,11.888,270.0,top
R17,54.051,20.143,270.0,top
R18,56.337,20.143,270.0,top
R19,58.496,20.143,270.0,top
R2,32.826,44.273,0.0,top
R20,64.7444,20.1524,270.0,top
R21,22.936,30.6078,0.0,top
R22,28.016,42.1648,270.0,top
R23,28.016,35.002,90.0,top
R24,26.492,28.3218,0.0,top
R25,21.9708,28.3218,180.0,top
R26,10.2868,21.8702,270.0,top
R27,11.6584,29.9728,0.0,top
R28,10.2868,26.255,90.0,top
R3,32.858,46.432,0.0,top
R4,52.6159,40.0185,270.0,top
R5,32.842,48.464,0.0,top
R6,36.5,31.0,180.0,top
R7,62.306,37.6182,0.0,top
R9,66.425,45.775,0.0,top
U3,44.7618,20.9052,180.0,top
U4,45.8468,38.7993,180.0,top
U7,10.9218,49.6324,90.0,top
U8,19.8372,22.302,0.0,top
U9,5.7,26.5,270.0,top
Y1,44.8435,45.6065,0.0,top
